company,job_title,location,job_type,experience_level,salary,requirment_of_the_company,facilities,role
CapTech Consulting,"Lead Data Architect Consultant (AWS, Azure, GCP)","Charlotte, NC, United States",Full Time,Senior-level,135000.0,"Airflow,Architecture,AWS,Azure,Consulting,Databricks","401(k) matching,Career development,Fertility benefits,Health care,Insurance",data architect
Zscaler,Data Scientist Intern,"San Jose, CA, United States",Internship,Entry-level,,"Agile,Architecture,AWS,Azure,Classification,Computer Science","Career development,Competitive pay,Equity,Health care,Startup environment",data scientist
Roblox,Senior Data Scientist- Creator Content,"San Mateo, CA, United States",Full Time,Senior-level,295000.0,"A/B testing,Airflow,Big Data,Causal inference,Computer Science,Content creation","Career development,Equity,Flex hours,Flex vacation,Health care",data scientist
Bosch Group,Data Analyst / Data Scientist eBike Systems (w/m/div.),"Kusterdingen, Germany",Full Time,Senior-level,92000.0,"Big Data,Data Analytics,Machine Learning,,,","Team events,,,,",data analyst
RoomRaccoon,Data Engineer,"Cape Town, Western Cape, South Africa",Full Time,Mid-level,73000.0,"A/B testing,Architecture,Computer Science,Data analysis,Linux,Mathematics","Career development,Equity,Lunch / meals,,",data engineer
Eurofins,Entry Level Data Scientist,"Lancaster, PA, United States",Full Time,Entry-level,44000.0,"Chemistry,Testing,,,,","401(k) matching,Health care,Insurance,,",data scientist
Tul,Insights & Data Specialist (Growth),MÉXICO,Full Time,Senior-level,70000.0,"A/B testing,Excel,Power BI,Python,QlikView,R",",,,,",other
Meritis,Data Scientist (F/H),"Paris, France",Full Time,Entry-level,40000.0,"Agile,DevOps,Engineering,Finance,,",",,,,",data scientist
NielsenIQ,Senior Methods and Data Analyst,"Pune, India",Full Time,Senior-level,92000.0,"Azure,Big Data,Business Intelligence,Data analysis,Databricks,Econometrics",",,,,",data analyst
CCRi,Project Manager: Customer Outreach (Data Science),"Charlottesville, Virginia, United States",Full Time,Mid-level,100000.0,"Agile,AWS,Azure,Computer Vision,Jira,Kanban","401(k) matching,Career development,Flex hours,Flex vacation,Health care",data scientist
Wizard,Senior Data Engineer,Remote - USA,Full Time,Senior-level,193000.0,"AWS,Azure,Bitbucket,Cassandra,Computer Science,Databricks","Career development,Competitive pay,Equity,Flex vacation,Health care",data engineer
Lynx Analytics,Data Scientist,"Budapest, Budapest, Hungary",Full Time,Senior-level,129000.0,"Computer Science,Data analysis,Data Mining,Data visualization,Economics,Engineering","Startup environment,,,,",data scientist
Verily,Clinical Data Manager/Analyst,"South San Francisco, CA",Full Time,,109000.0,"Computer Science,Data management,Data quality,GCP,Python,R","Competitive pay,Equity,Health care,Salary bonus,",data manager
iwoca,Senior Data Scientist - UK Ops,"London, England, United Kingdom",Full Time,Mid-level,60000.0,"Bayesian,Engineering,Machine Learning,Matlab,NumPy,Pandas","Career development,Fitness / gym,Flex hours,Flex vacation,Health care",data scientist
Lightspeed Commerce,Data Analyst (Permanent Work from home),"Manila, Manila, Philippines",Full Time,Senior-level,92000.0,"Business Intelligence,Data visualization,Excel,Looker,Machine Learning,Power BI","Career development,Competitive pay,Health care,Salary bonus,Unlimited paid time off",data analyst
Columbia University,"Pre-College Instructor, Big Data, Machine Learning & their Real World Applications (On-Campus) Summer 2023","New York City, United States",Full Time,Entry-level,44000.0,"Big Data,Machine Learning,Teaching,,,",",,,,",big data engineer
Audiokinetic,Spécialiste en science des données / Data Scientist,"Montreal, Quebec, Canada",Full Time,Mid-level,60000.0,"APIs,AWS,Business Intelligence,Clustering,Data governance,Data management","Flex hours,,,,",data scientist
Octopus Energy,Data Analyst (Pricing),"London, UK",Full Time,Entry-level,48000.0,"Jupyter,Pandas,Python,SQL,Tableau,","Salary bonus,,,,",data analyst
Attractions.io,Senior Data Scientist (Machine Learning),"Uttoxeter, England, United Kingdom - Remote",Full Time,Mid-level,60000.0,"AWS,Computer Science,Data analysis,Engineering,Machine Learning,Mathematics","Career development,Competitive pay,Flex hours,,",data scientist
Checkout.com,Staff Data Engineer,"London, United Kingdom",Full Time,Senior-level,62000.0,"Architecture,AWS,CI/CD,Data Analytics,Docker,ECS","Career development,Conferences,Flex hours,Flex vacation,Team events",data engineer
NielsenIQ,"Senior Manager, Data Science","Petaling Jaya, Malaysia",Full Time,Senior-level,55000.0,"Business Intelligence,Data analysis,Data visualization,E-commerce,Finance,Genetics","Startup environment,,,,",data scientist
Enigma,"Staff Engineer, Data Infrastructure",New York City OR Remote,Full Time,Senior-level,180000.0,"Databricks,Engineering,Spark,Testing,,","Career development,Equity,Flex vacation,,",other
Bionic Services Ltd,Data Engineer,"London, England, United Kingdom",Full Time,Mid-level,73000.0,"Agile,Architecture,AWS,Azure,Data warehouse,Data Warehousing","Career development,Startup environment,,,",data engineer
Airbnb,"Staff Data Engineer, Data Stewardship",Remote,Full Time,Senior-level,200000.0,"Data governance,Data management,Data quality,Data Warehousing,Engineering,ETL","Salary bonus,Startup environment,,,",data engineer
3Pillar Global,Senior Data Engineer,Romania,Full Time,Senior-level,115000.0,"Agile,Athena,AWS,Big Data,Data governance,Data Warehousing","Flex hours,,,,",data engineer
Nextdoor,Head of Data Science and Analyst,"San Francisco, CA",Full Time,Executive-level,230000.0,"Big Data,Computer Science,Data governance,Data management,Data quality,Data visualization","Career development,Equity,Health care,Startup environment,",data scientist
dentsu international,Modelling / Data Science - Lead Analyst - Analyst,"Bengaluru, India",Full Time,Senior-level,55000.0,"Business Intelligence,Computer Science,Consulting,CX,Data analysis,Data Analytics",",,,,",data scientist
Hello Heart,Data Science Team Lead,"Tel Aviv, Israel",Full Time,Senior-level,55000.0,"Agile,AWS,Azure,Computer Science,Engineering,GCP","Career development,Health care,Startup environment,,",data scientist
Statkraft,"Data Scientist - Digitalization, Trading & Origination","Stamford, CT, United States",Full Time,Entry-level,40000.0,"Ansible,Architecture,AWS,Azure,CI/CD,Computer Science","Career development,,,,",data scientist
Renaissance,Data Integration Support Representative,"Remote, REMOTE, United States",Full Time,Entry-level,40000.0,"Computer Science,CSV,RDBMS,SQL,Statistics,","401(k) matching,Career development,Equity,Flex hours,Flex vacation",other
NielsenIQ,Data Analyst and BI Developer,"New York City, United States",Full Time,Senior-level,69000.0,"Big Data,Business Intelligence,Data analysis,Data visualization,Economics,Engineering","Startup environment,,,,",data analyst
Roblox,Senior Data Scientist - Discovery Experiences,"San Mateo, CA, United States",Full Time,Senior-level,295000.0,"Airflow,Big Data,Causal inference,Computer Science,Deep Learning,Economics","Career development,Equity,Flex hours,Flex vacation,Health care",data scientist
"AppZen, Inc.",Data Engineer,Pune,Full Time,Senior-level,115000.0,"Airflow,AWS,Computer Science,Data pipelines,Data visualization,Data Warehousing",",,,,",data engineer
Meritis,Data Engineer (F/H),"Paris, France",Full Time,,96000.0,"Agile,Big Data,DevOps,Engineering,Finance,Hadoop",",,,,",data engineer
Verisk,Data Engineer - ETL Developer,"Kathmandu, Nepal",Full Time,Senior-level,115000.0,"Agile,AWS,Big Data,Computer Science,Data analysis,Data governance","Career development,Insurance,Team events,,",data engineer
CapTech Consulting,"Data Architect Consultant (AWS, Azure, GCP)","Charlotte, NC, United States",Full Time,Senior-level,135000.0,"Airflow,Architecture,AWS,Azure,Consulting,Databricks","401(k) matching,Career development,Fertility benefits,Health care,Insurance",data architect
Standard Bank Group,Data Scientist,"Roodepoort, South Africa",Full Time,Entry-level,40000.0,"Clustering,Data Analytics,Data Mining,Machine Learning,Mathematics,ML models","Career development,Startup environment,,,",data scientist
Marley Spoon,Product Data Analyst - Experimentation,"Lisbon, Lisbon, Portugal - Remote",Full Time,Mid-level,65000.0,"A/B testing,Amplitude,Data Analytics,Economics,Looker,Mathematics","Career development,Flex hours,Health care,Startup environment,Team events",data analyst
Roblox,Senior Data Scientist - Creator Success,"San Mateo, CA, United States",Full Time,Senior-level,310000.0,"A/B testing,Airflow,Big Data,Causal inference,Computer Science,Data analysis","Career development,Equity,Flex hours,Flex vacation,Health care",data scientist
Tubi,Data Scientist II,"San Francisco, CA; Remote",Full Time,Senior-level,134000.0,"A/B testing,Engineering,Machine Learning,ML models,Python,R","Career development,Flex hours,Flex vacation,Health care,Insurance",data scientist
Nine,Data Analyst and Insights Analyst,"North Sydney, Australia",Full Time,Senior-level,55000.0,"A/B testing,BigQuery,Data Analytics,E-commerce,SQL,Streaming","Career development,Health care,Parental leave,Startup environment,",data analyst
dentsu international,Senior Data Engineer,"Prague, Czech republic",Full Time,Senior-level,115000.0,"Agile,Airflow,Architecture,AWS,Azure,Big Data","Flex hours,Flex vacation,Gear,Pet friendly,Salary bonus",data engineer
Fannie Mae,People Analyst Senior Data Analyst (Remote),"Washington, DC, United States",Full Time,Senior-level,92000.0,"Architecture,AWS,Business Intelligence,Classification,Consulting,Data visualization","Career development,Flex hours,Health care,Home office stipend,",data analyst
Metiora,Data Scientist Intern,"Madrid, Spain",Full Time,Entry-level,,"Deep Learning,Machine Learning,Matplotlib,MongoDB,NumPy,Pandas",",,,,",data scientist
Intevity,Senior Developer - Data Engineer (AWS/Node/Typescript),"Burlington, MA, United States",Full Time,Senior-level,115000.0,"Agile,Architecture,AWS,Consulting,EC2,Engineering","401(k) matching,Career development,Competitive pay,Health care,Insurance",data engineer
Veeva Systems,Data Product Manager - SafeMine Cloud,Israel - Kiryat Ono,Full Time,,50000.0,"Agile,Architecture,Big Data,DataOps,Data pipelines,Data quality","Startup environment,,,,",other
Block,"Senior Platform Data Engineer, People Analyst","Toronto or Vancouver, Canada, United States",Full Time,Senior-level,115000.0,"APIs,AWS,Banking,Blockchain,Crypto,Data governance","Career development,Equity,Flex vacation,Health care,Insurance",data engineer
Coupang,"Security Engineer, Data Security","Seoul, South Korea",Full Time,,50000.0,"Python,SDL,Security,,,",",,,,",other
OUTsurance,Data Engineer,"Centurion, South Africa",Full Time,,96000.0,"Airflow,Ansible,AWS,Azure,Computer Science,Databricks",",,,,",data engineer
Western Digital,Power BI Data Analyst,"Kfar Saba, Israel",Full Time,Senior-level,50000.0,"Architecture,Data analysis,Data visualization,EDA,Engineering,Industrial",",,,,",data analyst
Dream Sports,Data Analyst,Mumbai,Full Time,Entry-level,48000.0,"Architecture,AWS,Cassandra,Distributed Systems,Kafka,Looker",",,,,",data analyst
Rest,Information Security & Data Management Trainer,"Sydney, Australia",Full Time,Executive-level,65000.0,"Computer Science,Data management,Security,,,","Career development,Flex hours,Insurance,Parental leave,",other
Roblox,"Principal Software Engineer, Data Engineering","San Mateo, CA, United States",Full Time,Senior-level,283000.0,"Airflow,Architecture,AWS,Azure,Dagster,Data pipelines","Career development,Equity,Flex hours,Flex vacation,Health care",data engineer
Believe,HR Data Analyst (H/F),"Paris, France",Full Time,Entry-level,48000.0,"Power BI,Vue,,,,",",,,,",data analyst
Metiora,Data Analyst Intern,"Madrid, Spain",Full Time,Entry-level,,"Matplotlib,MongoDB,NumPy,Pandas,Power BI,Python",",,,,",data analyst
Bosch Group,PreMaster Programm - Data Analyst and Visualization,"Gerlingen, Germany",Full Time,Entry-level,39000.0,"BigQuery,Data Analytics,LLMs,Pandas,Python,","Team events,,,,",data analyst
Amazon.com,"Electrical Design Engineer, Data Center Design Engineering","Herndon, Virginia, USA",Full Time,Senior-level,69000.0,"AWS,Engineering,Industrial,Research,,","Career development,Conferences,Flex hours,Home office stipend,Startup environment",other
Publicis Groupe,Data Engineer,"New York City, United States",Full Time,Senior-level,115000.0,"Agile,APIs,Architecture,AWS,CI/CD,Data analysis",",,,,",data engineer
Block,"Senior Product Manager, Data Infrastructure","Los Angeles, CA, United States",Full Time,Senior-level,142000.0,"Banking,Blockchain,Crypto,Data pipelines,Engineering,Machine Learning","Career development,Equity,Health care,Insurance,Parental leave",other
Meritis,Développeur.se Big Data (F/H),"Paris, France",Full Time,Senior-level,62000.0,"Agile,Architecture,Big Data,DevOps,Engineering,Finance",",,,,",big data engineer
Hubtype,Data Scientist,"Barcelona, Catalonia, Spain - Remote",Full Time,Mid-level,60000.0,"Chatbots,Data Mining,ETL,Excel,JavaScript,SAS","Career development,Flex hours,Health care,Team events,",data scientist
Amazon.com,"Data Scientist I, SDO Privacy - PDC team","Iasi, ROU",Full Time,Senior-level,129000.0,"Big Data,Classification,Computer Science,Computer Vision,CX,Data analysis","Career development,Conferences,,,",data scientist
Halvik,Senior Data Architect,Remote,Full Time,Senior-level,135000.0,"AWS,Azure,Big Data,CI/CD,Databricks,Data pipelines","Flex vacation,Health care,Insurance,,",data architect
PartnerRe,Data Analyst (Dublin or Paris),"Dublin, Ireland",Full Time,,80000.0,"DataOps,Data quality,Excel,R,,","Team events,,,,",data analyst
PSI CRO,Clinical Data Manager,"Budapest, Hungary",Full Time,Entry-level,39000.0,"Data management,Oracle,Research,Testing,,",",,,,",data manager
Vericast,Staff Software Engineer II-Big Data (REMOTE),"Austin, TX, United States",Full Time,Senior-level,145000.0,"Agile,Big Data,Computer Science,Engineering,Hadoop,Kafka","Health care,Salary bonus,,,",big data engineer
CLEAR,Principal Data Engineer,"New York City, United States (Hybrid)",Full Time,Senior-level,225000.0,"Airflow,Business Intelligence,Dagster,Data governance,Engineering,Kafka","401(k) matching,Career development,Fertility benefits,Flex vacation,Snacks / Drinks",data engineer
NBCUniversal,Principal Data Scientist (Deep Learning),"New York, NEW YORK, United States",Full Time,Executive-level,185000.0,"Airflow,Architecture,AWS,Computer Science,Computer Vision,Conversational AI","Career development,Equity,Health care,Insurance,Medical leave",data scientist
Visa,Staff Data Engineer,"Bengaluru, India",Full Time,Senior-level,55000.0,"Architecture,Big Data,Computer Science,Engineering,Hadoop,Kafka","Startup environment,Team events,,,",data engineer
Lyft,Senior/Lead Data Scientist,"Prague, Czech Republic",Full Time,Senior-level,129000.0,"Economics,Engineering,Mathematics,Python,R,Research","Health care,Parental leave,Startup environment,,",data scientist
YouGov,Data Analyst,"Navi Mumbai, India",Full Time,Entry-level,48000.0,"Excel,Market research,Privacy,Research,Statistics,","Team events,,,,",data analyst
Vivid Seats,Lead Data Engineer,"Chicago, IL",Full Time,Mid-level,103000.0,"Airflow,AWS,DataOps,Data Warehousing,Engineering,ETL","Career development,Competitive pay,Flex hours,Flex vacation,Health care",data engineer
CITECH,Ingénieur Data / Power BI (H/F),"Dijon, France",Full Time,Senior-level,60000.0,"Azure,Data Analytics,KPIs,PostgreSQL,Power BI,Python",",,,,",other
Feefo Holdings Ltd,Intern Junior Marketing Data Analyst (12 Month FTC),"London, England, United Kingdom",Internship,Entry-level,,"Classification,Computer Science,Economics,Excel,Finance,Mathematics","Career development,Equity,Flex vacation,Health care,Startup environment",data analyst
Mondia Group,Data Engineer (Job Ref: 1769),"New Cairo City, Cairo Governorate, Egypt",Full Time,Mid-level,73000.0,"Airflow,Architecture,AWS,BigQuery,Computer Science,Dataflow","Health care,Salary bonus,Startup environment,,",data engineer
"Fastly, Inc.",Senior People Data Analyst,"Denver, CO",Full Time,Senior-level,113000.0,"Agile,APIs,Business Analytics,Business Intelligence,Computer Science,Data governance","401(k) matching,Career development,Equity,Flex vacation,Health care",data analyst
Argyle,Data Quality QA Engineer,Remote,Full Time,Entry-level,50000.0,"APIs,Data analysis,Data Analytics,Data management,Data quality,Data strategy","Career development,Equity,Flex hours,Flex vacation,Gear",other
Airtable,"Data Scientist, Analyst","San Francisco, CA; Mountain View, CA; Los ",Full Time,Senior-level,184000.0,"Airtable,KPIs,Privacy,Python,R,SQL","Career development,,,,",data scientist
Clear Street Markets,Business Data Analyst,New York,Full Time,Senior-level,70000.0,"APIs,Data Analytics,Data warehouse,Data Warehousing,Engineering,Excel","Career development,Competitive pay,Equity,Health care,Medical leave",data analyst
Strive Health,"Sr. Director, Data Science","Denver, CO (Remote)",Full Time,Senior-level,147000.0,"Machine Learning,MLOps,OKR,Statistics,Testing,","Career development,Competitive pay,Health care,Salary bonus,",data scientist
Tesco Bengaluru,Lead-Business Intelligence&Data Warehousing,"Bengaluru, India",Full Time,Senior-level,55000.0,"Business Intelligence,CX,Data Warehousing,Engineering,Excel,Finance","Competitive pay,Team events,,,",other
TetraScience,"Director, Data Engineering",United States - Remote,Full Time,Mid-level,73000.0,"Agile,AWS,Data quality,EC2,Engineering,Excel","Flex hours,Flex vacation,Transparency,Unlimited paid time off,",data engineer
Amazon.com,"Data Analyst, Fulfillment Network Planning","Tokyo, JPN",Full Time,Senior-level,92000.0,"AWS,ETL,SQL,,,",",,,,",data analyst
Visa,Data Science Manager,"Sao Paulo, Brazil",Full Time,Senior-level,144000.0,"Banking,Big Data,Classification,Clustering,Computer Science,Data Mining","Career development,,,,",data scientist
Roblox,Senior Data Scientist - Social Communications,"San Mateo, CA, United States",Full Time,Senior-level,253000.0,"A/B testing,Big Data,Causal inference,Computer Science,Data Mining,Economics","Career development,Equity,Flex hours,Flex vacation,Health care",data scientist
Verisk,Data Engineer (Enterprise Master Data Management),"Edinburgh, United Kingdom",Full Time,Senior-level,115000.0,"APIs,AWS,Data analysis,Data Analytics,Data governance,Data management","Flex hours,Team events,,,",data engineer
Block,Behavioral Insights Fraud Data Analyst,"Atlanta, GA, United States",Full Time,Senior-level,85000.0,"Banking,Blockchain,Computer Science,Crypto,Data analysis,Data visualization","Career development,Equity,Health care,Insurance,Parental leave",data analyst
AllTrails,"Data Engineer, Machine Learning (Remote)",San Francisco,Full Time,Senior-level,115000.0,"Airflow,AWS,BigQuery,CI/CD,CUDA,Dataflow","Career development,Competitive pay,Equity,Fitness / gym,Flex hours",data engineer
Synthego,Data Scientist,"Redwood City, CA",Full Time,Senior-level,129000.0,"Biochemistry,Biology,Data Mining,Data visualization,Economics,Engineering","Career development,,,,",data scientist
Vosker,"Data Analyst, Business Optimisation","Montreal, QC, Canada",Full Time,,80000.0,"Data management,Mathematics,SQL,Statistics,,","Health care,,,,",data analyst
EUROPEAN DYNAMICS,Data Visualization Specialist,"Valencia, Valencian Community, Spain - Remote",Full Time,Mid-level,45000.0,"Agile,Azure,Data analysis,Data visualization,DevOps,Jira","Career development,,,,",other
ALTEN,Data Engineer Scala / Java (spark),"Rabat, Morocco",Full Time,Entry-level,59000.0,"Architecture,Avro,Big Data,Cassandra,CI/CD,Docker",",,,,",data engineer
EquipmentShare,Senior Data Scientist,"Remote; Columbia, Missouri; Kansas City, Missouri, United ",Full Time,Senior-level,129000.0,"Computer Science,Industrial,Machine Learning,Research,Statistics,","401(k) matching,Career development,Competitive pay,Conferences,Fitness / gym",data scientist
Visa,Staff Data Engineer (Actimize AIS),"Bengaluru, India",Full Time,Senior-level,115000.0,"Architecture,Data visualization,PhD,Python,Scala,Testing","Startup environment,,,,",data engineer
Databricks,Staff Data Scientist,"Bengaluru, India",Full Time,Senior-level,55000.0,"CX,Databricks,Engineering,Excel,Industrial,Machine Learning","Career development,Conferences,Insurance,Parental leave,Startup environment",data scientist
Adevinta,Staff Data Engineer,"Amsterdam, Netherlands",Full Time,Senior-level,62000.0,"Agile,APIs,Architecture,AWS,Azure,Big Data","Career development,Competitive pay,Fitness / gym,Flex hours,Home office stipend",data engineer
MONDIAL RELAY,Data Product Owner H/F,"Villeneuve-d'Ascq, France",Full Time,Entry-level,39000.0,"Business Analytics,E-commerce,Engineering,Jira,Machine Learning,Scrum","Career development,Competitive pay,Salary bonus,Startup environment,",other
Databricks,Data Engineer,"Bengaluru, India",Full Time,,96000.0,"APIs,Architecture,Big Data,Business Analytics,Business Intelligence,Computer Science",",,,,",data engineer
Agoda,"Senior Data Analyst (Bangkok Based, Relocation Provided)",Bangkok,Full Time,Senior-level,92000.0,"A/B testing,Banking,Business Intelligence,Computer Science,Consulting,Data analysis","Career development,,,,",data analyst
Block,"Senior Data Scientist, Afterpay Product","Melbourne, Australia",Full Time,Senior-level,129000.0,"Amplitude,Banking,Blockchain,Computer Science,Crypto,Databricks","Career development,Parental leave,Startup environment,Wellness,",data scientist
Spectrum Effect,Wireless Communication Data Scientist,"San Pedro Garza García, Mexico",Full Time,Senior-level,129000.0,"Architecture,Classification,Clustering,Computer Science,Data analysis,Engineering","Career development,Equity,,,",data scientist
Strive Health,Sr. Data Analyst (Partner Analyst),"Denver, CO (Remote)",Full Time,Senior-level,83000.0,"Data analysis,Data visualization,Engineering,Excel,Research,SQL","Competitive pay,Health care,Salary bonus,,",data analyst
"Justworks, Inc.","Senior Manager, Data Science",New York City,Full Time,Senior-level,235000.0,"Engineering,Machine Learning,Predictive modeling,Python,R,SQL","Career development,Startup environment,Team events,,",data scientist
MyFitnessPal,Data Engineer 2,Remote - US,Full Time,Senior-level,62000.0,"Airflow,APIs,AWS,Business Intelligence,Data pipelines,DynamoDB","401(k) matching,Career development,Fitness / gym,Flex hours,Flex vacation",data engineer
Meritis,Data Engineer (H/F),"Toulouse, France",Full Time,,96000.0,"Architecture,DevOps,Engineering,Finance,,",",,,,",data engineer
Sezzle,Compliance Data Analyst,Remote,Full Time,Senior-level,75000.0,"AWS,Banking,Computer Science,Data analysis,Data visualization,E-commerce","401(k) matching,Career development,Competitive pay,Equity,Flex vacation",data analyst
Informa Group Plc.,Senior Data Architect,"Toronto, ON, Canada",Full Time,Senior-level,135000.0,"Angular,Architecture,AWS,Computer Science,Databricks,Data quality","Career development,Flex hours,Flex vacation,Health care,Medical leave",data architect
Utility Warehouse,Data Analyst (Digital Analyst) Intern,"London, United Kingdom",Full Time,Entry-level,,"BigQuery,Business Intelligence,CX,Data warehouse,Econometrics,Looker","Career development,Flex hours,Insurance,Startup environment,",data analyst
Cube RM,Business Data Analyst Intern,"Athens, Attica, Greece",Internship,Entry-level,,"Agile,Azure,Computer Science,Data analysis,Excel,Mathematics","Career development,Flex hours,Flex vacation,Gear,Parental leave",data analyst
StubHub,Data Analyst - Customer Acquisition,"Los Angeles, CA",Full Time,Senior-level,110000.0,"A/B testing,Agile,Causal inference,KPIs,Python,R","Career development,Competitive pay,Equity,Health care,Parental leave",data analyst
Geotab Inc.,Data Operations Development Team Lead,"Oakville, ON",Full Time,Senior-level,69000.0,"Airflow,Architecture,Big Data,BigQuery,CI/CD,Computer Science","Career development,Flex hours,Health care,Medical leave,Parental leave",other
ALTEN,Data Engineer - Concepteur - Développeur SQL - BigL,"Rabat, Morocco",Full Time,,96000.0,"Architecture,Avro,Big Data,CI/CD,Docker,GCP",",,,,",data engineer
CI&T,"[Job-10533] Senior, Data Developer Python/Spark, Brazil",Brazil,Full Time,Senior-level,55000.0,"Airflow,APIs,Azure,Kubernetes,Python,Spark","Fitness / gym,,,,",data engineer
Agriaku,Lead Data Analyst,"Jakarta, Indonesia",Full Time,Senior-level,55000.0,"A/B testing,Data Studio,Data visualization,Looker,Metabase,Power BI",",,,,",data analyst
Veeva Systems,Senior Data Product Manager - Link Key People,United Kingdom - London,Full Time,Senior-level,62000.0,"Agile,Consulting,Engineering,Research,SQL,","Career development,Fitness / gym,Health care,Insurance,",other
"Faire Wholesale, Inc.",Senior Data Scientist - Search & Recommendation,Canada,Full Time,Senior-level,129000.0,"A/B testing,Computer Science,E-commerce,Elasticsearch,Engineering,Genetics","Career development,Flex hours,Team events,,",data scientist
Insite AI,Lead Data Engineer,United States - Remote,Full Time,Mid-level,103000.0,"Azure,Databricks,Docker,Engineering,Kubernetes,Machine Learning","401(k) matching,Career development,Health care,Insurance,Medical leave",data engineer
Altana AI,Senior Implementation Data Scientist,"Washington, DC",Full Time,Senior-level,129000.0,"APIs,Architecture,AWS,Azure,Databricks,Docker","Career development,Medical leave,Parental leave,,",data scientist
Dun & Bradstreet,Data Engineer I (R-14521),Remote - United States,Full Time,Senior-level,115000.0,"Agile,AWS,Azure,Computer Science,Data analysis,Mathematics","401(k) matching,Career development,Competitive pay,Fitness / gym,Flex vacation",data engineer
Visa,"Senior Manager, Data Science","Makati City, Philippines",Full Time,Senior-level,55000.0,"Banking,Clustering,Computer Science,Consulting,Data Analytics,Economics","Career development,Flex hours,Flex vacation,Startup environment,",data scientist
BandLab Technologies,Data Engineer (MIDI and Audio),"Singapore, Singapore, Singapore",Full Time,Mid-level,73000.0,"Architecture,AWS,Azure,Computer Science,Data pipelines,Engineering","Career development,Insurance,Salary bonus,,",data engineer
Unit4,Senior Cloud Data Scientist (FinOps),"Kuala Lumpur, Malaysia",Full Time,Senior-level,129000.0,"Agile,Azure,Consulting,Data analysis,DevOps,Excel","Career development,Startup environment,Unlimited paid time off,,",data scientist
Angi,Lead Data Scientist - Pricing,"Seattle, WA - Remote",Full Time,Senior-level,175000.0,"Big Data,Economics,Finance,Machine Learning,Mathematics,ML infrastructure","401(k) matching,Career development,Competitive pay,Equity,Flex hours",data scientist
Block,"Senior Product Manager, Data Infrastructure and ML","Los Angeles, CA, United States",Full Time,Senior-level,142000.0,"Banking,Blockchain,Crypto,Data pipelines,Engineering,Machine Learning","Career development,Equity,Health care,Insurance,Parental leave",other
Datadog,Senior Software Engineer - Data Infrastructure,"Boston, Massachusetts, USA; New York City, USA; ",Full Time,Senior-level,187000.0,"AWS,Azure,Big Data,Computer Science,Data pipelines,Engineering","401(k) matching,Career development,Competitive pay,Equity,Health care",other
Pure Storage,Data Scientist,"Prague, Czech Republic",Full Time,Senior-level,129000.0,"AWS,Classification,Clustering,Data governance,Data Mining,Data visualization","Career development,Flex hours,Flex vacation,Team events,",data scientist
Altana AI,Implementation Data Scientist,"Washington, DC",Full Time,,92000.0,"APIs,Architecture,AWS,Azure,Databricks,Docker","Career development,Medical leave,Parental leave,,",data scientist
NielsenIQ,Methods and Data Analyst,"Pune, India",Full Time,Senior-level,92000.0,"Azure,Big Data,Business Intelligence,Data analysis,Databricks,Econometrics",",,,,",data analyst
Innovaccer,Data Scientist,"Noida, Uttar Pradesh, India",Full Time,Senior-level,129000.0,"AWS,Azure,Computer Science,Deep Learning,Engineering,Keras","Career development,Flex vacation,Health care,Paid sabbatical,Parental leave",data scientist
TrustEngine,Lead Data Engineer,Remote,Full Time,Senior-level,103000.0,"Architecture,AWS,Azure,Cassandra,Computer Science,Data governance","Career development,Competitive pay,Health care,Medical leave,Parental leave",data engineer
Ozow,Senior Data Analyst,"Cape Town, South Africa",Full Time,Senior-level,92000.0,"AWS,Big Data,Cassandra,Engineering,ETL,Hadoop","Career development,Fitness / gym,Medical leave,Team events,Wellness",data analyst
Statistics & Data Corporation (SDC),"Manager, Clinical Data Management","Waltham, Massachusetts, United States",Full Time,Mid-level,51000.0,"Consulting,Data management,Engineering,Research,,","401(k) matching,Career development,Competitive pay,Flex hours,Flex vacation",other
AllTrails,"Senior Data Scientist, ML and Algorithms (Remote)",San Francisco,Full Time,Senior-level,129000.0,"Classification,Clustering,Computer Vision,Deep Learning,Git,Jupyter","Career development,Competitive pay,Equity,Fitness / gym,Flex hours",data scientist
Bluevine,Senior Data Engineer,"Redwood City, CA",Full Time,Senior-level,144000.0,"AWS,Banking,Computer Science,Data pipelines,Data warehouse,Docker","401(k) matching,Career development,Flex hours,Flex vacation,Health care",data engineer
Checkout.com,Data Scientist,"London, United Kingdom",Full Time,Senior-level,129000.0,"AWS,Azure,Docker,Engineering,Feature engineering,FinTech","Career development,Flex hours,Flex vacation,,",data scientist
Agoda,"Data Analyst (Bangkok Based, Relocation Provided)",Bangkok,Full Time,Mid-level,65000.0,"A/B testing,Banking,Business Intelligence,Computer Science,Consulting,Data analysis","Career development,,,,",data analyst
Skan,Sr. Big Data Engineer,"Bengaluru, Karnataka, India",Full Time,Senior-level,30000.0,"Azure,Big Data,Databricks,Data pipelines,Git,Hadoop",",,,,",big data engineer
Strive Health,"Intern, Data Science","Denver, CO (Remote)",Internship,Entry-level,,"AWS,Computer Science,Data Mining,Excel,Machine Learning,Mathematics","Career development,Competitive pay,Health care,Home office stipend,Salary bonus",data scientist
